DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C1483005,2002,R.S.Canon+,Data(B),4.0e-8,,null,,,EN(EV),13341.6,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),2.7e-7,,null,,,EN(EV),26683.1,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),6.0e-7,,null,,,EN(EV),40024.7,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),9.6e-7,,null,,,EN(EV),53366.2,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),1.32e-6,,null,,,EN(EV),66707.8,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),1.67e-6,,null,,,EN(EV),80049.3,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),2.03e-6,,null,,,EN(EV),93390.9,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),2.39e-6,,null,,,EN(EV),1.06732e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),2.74e-6,,null,,,EN(EV),1.20074e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483005,2002,R.S.Canon+,Data(B),3.11e-6,,null,,,EN(EV),1.33416e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG"
C1483006,2002,R.S.Canon+,Data(B*EV),3.99518e-8,,null,,,EN(EV),13341.6,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),2.69707e-7,,null,,,EN(EV),26683.1,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),5.99983e-7,,null,,,EN(EV),40024.7,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),9.56593e-7,,null,,,EN(EV),53366.2,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),1.31605e-6,,null,,,EN(EV),66707.8,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),1.67268e-6,,null,,,EN(EV),80049.3,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),2.02635e-6,,null,,,EN(EV),93390.9,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),2.38445e-6,,null,,,EN(EV),1.06732e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),2.7433e-6,,null,,,EN(EV),1.20074e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
C1483006,2002,R.S.Canon+,Data(B*EV),3.10409e-6,,null,,,EN(EV),1.33416e+5,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),2.57663e-8,4.02617e-9,null,,,EN(EV),1.2e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),4.54281e-8,6.22611e-9,null,,,EN(EV),1.4e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),6.8362e-8,9.07911e-9,null,,,EN(EV),1.6e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),1.29461e-7,1.5713e-8,null,,,EN(EV),2.0e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),2.04427e-7,2.43112e-8,null,,,EN(EV),2.4e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),2.81942e-7,2.9293e-8,null,,,EN(EV),2.8e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
F1455002,2021,V.A.Varlachev+,Data(B*EV),3.27569e-7,2.81222e-8,null,,,EN(EV),3.0e+4,,null,,,null,,,null,,,null,,,null,,,1003,1-H-3,P,G,2-HE-4,3,102,CS+,CS,1,2,"1-H-3(P,G)2-HE-4,,SIG,,SFC"
