DatasetID,year1,author1,y:Value,y,dy,x1:ResEn,x1(eV),dx1(eV),x2:IncEn,x2(eV),dx2(eV),x3:SecEn,x3(eV),dx3(eV),x4:Angle,x4(deg),dx4(deg),x5:Num,x5,dx5,x6:Other,x6,dx6,x7:Prod,ProdZA,ProdM,zaTarg1,Targ1,Proj,Emiss,Prod1,MF,MT,ReacType,Quant1,nx,indVars,Reacode
10141003,1971,B.J.Allen+,Data(B),1.2e-4,4.0e-5,null,,,SpT(EV),3.0e+4,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,SPA"
11264002,1961,G.A.Bartholomew,Data(B),8.0e-4,2.0e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,SPA"
11309002,1954,G.R.Hennig,Data(B),9.0e-4,2.0e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,SPA"
11337002,1957,G.A.Bartholomew+,Data(B),0.001,3.0e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,SPA"
11342002,1963,H.T.Motz+,Data(B),0.001,2.0e-4,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,MXW"
127990021,1982,S.F.Mughabghab+,Data(NO-DIM),0.388,0.01,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,203,102,Ratio,CS,1,2,"(6-C-13(N,G)6-C-14,,SIG,,MXW)/(6-C-12(N,G)6-C-13,,SIG,,MXW)"
127990022,1982,S.F.Mughabghab+,Data(B),0.00137,4.0e-5,null,,,SpE(EV),0.0253,,null,,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,102,CS,CS,1,2,"6-C-13(N,G)6-C-14,,SIG,,MXW"
12799004,1982,S.F.Mughabghab+,Data(B),1.2e-4,1.0e-5,null,,,SpE(EV),0.0253,,E2(EV),1.587e+6,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG,,MXW"
12799004,1982,S.F.Mughabghab+,Data(B),0.00115,4.0e-5,null,,,SpE(EV),0.0253,,E2(EV),8.174e+6,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG,,MXW"
12914005,1985,M.C.Wright+,Data(B),4.43e-5,3.4e-6,null,,,EN(EV),5.6e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
12914005,1985,M.C.Wright+,Data(B),4.16e-5,2.8e-6,null,,,EN(EV),5.8e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
12914005,1985,M.C.Wright+,Data(B),3.97e-5,3.3e-6,null,,,EN(EV),6.0e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
12914005,1985,M.C.Wright+,Data(B),3.92e-5,3.1e-6,null,,,EN(EV),6.2e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
12914005,1985,M.C.Wright+,Data(B),3.99e-5,3.4e-6,null,,,EN(EV),6.4e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
12914005,1985,M.C.Wright+,Data(B),4.31e-5,3.1e-6,null,,,EN(EV),6.6e+6,,LVL(EV),0,,null,,,null,,,null,,,null,,,6013,6-C-13,N,G,6-C-14,3,0,CSP,CSP,2,23,"6-C-13(N,G)6-C-14,PAR,SIG"
